Entidad,Municipio,Cargo,Nombre de regiduría,Número de lista,Distrito,Tipo de Candidatura,Coalición,Partido político,Nombre,Género de propietaria,Acción Afirmativa
Aguascalientes,Sin información,Gubernaturas,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,2,Candidatura partidista,Sin información,Partido del Trabajo,DULCE MARIA BEAS FERNANDEZ,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,2,Candidatura partidista,Sin información,Movimiento Ciudadano,ZULEMA NOHEMI MUNOZ DE LIRA,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,2,Candidatura partidista,Fuerza y Corazón por Aguascalientes,PAN,MA. GUADALUPE MENDOZA MEDRANO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,3,Candidatura partidista,Sin información,PVEM,KATIA NAYELI VILLALOBOS COLLAZO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,4,Candidatura partidista,Sin información,Partido del Trabajo,OFELIA VILLA SILVA,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,4,Candidatura partidista,Fuerza y Corazón por Aguascalientes,Sin información,BEATRIZ MONTOYA HERNANDEZ,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,5,Candidatura partidista,Sin información,Partido del Trabajo,MARIA AZUCENA DAVILA SILVA,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,5,Candidatura partidista,Sin información,PVEM,SANDRA OLIVIA MARTINEZ RODRIGUEZ,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,5,Candidatura partidista,Sin información,Movimiento Ciudadano,THELMA DANIELA SALINAS MIRANDA,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,5,Candidatura partidista,Sin información,MORENA,VERONICA FUENTES HERRERO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,6,Candidatura partidista,Sin información,Partido del Trabajo,NADJA AMINA VILLASEÑOR ALVARADO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,6,Candidatura partidista,Sin información,PVEM,DANIELA ESPARZA ROMO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,6,Candidatura partidista,Sin información,MORENA,NORMA FABIOLA ARAGON LEAL,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,7,Candidatura partidista,Sin información,PVEM,CYNTHIA GUADALUPE PONCE VAZQUEZ,female,Diversidad sexual y de género
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,7,Candidatura partidista,Sin información,Movimiento Ciudadano,YOLYTZIN ALELI RODRIGUEZ SENDEJAS,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,7,Candidatura partidista,Sin información,MORENA,ERIKA RUTH CASTAÑEDA RIVERA,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,7,Candidatura partidista,Fuerza y Corazón por Aguascalientes,Sin información,LAURA PATRICIA PONCE LUNA,female,NO
